ユーザー名,表示名,業種,備考
"barden_zao","遠刈田温泉 バーデン家 壮鳳","サウナ・温浴施設","HP: https://www.barden.co.jp/"
"route_inn_hotels","ホテルルートイン仙台東","サウナ・温浴施設","HP: https://www.route-inn.co.jp/search/hotel/index_hotel_id_664"
"rakuten_eagles","楽天モバイル 最強パーク宮城","サウナ・温浴施設","HP: https://www.rakuteneagles.jp/stadium/"
"bettei.yamabuki","別邸 山風木","サウナ・温浴施設","HP: http://www.bettei-yamabuki.com/"
"matsushimacenturyhotel","松島センチュリーホテル","サウナ・温浴施設","HP: http://www.centuryhotel.co.jp/"
"lalaresort_greengreen","La楽リゾートホテル グリーングリーン","サウナ・温浴施設","HP: https://www.hotel-gg.com/"
"sendairoyalparkhotel","仙台ロイヤルパークホテル","サウナ・温浴施設","HP: https://www.srph.co.jp/"
"tazawako_sauna","タザワコサウナ","サウナ・温浴施設","HP: https://tazawakosauna.com/"
"dormyinn.official","中通温泉こまちの湯 ドーミーイン秋田","サウナ・温浴施設","HP: http://www.hotespa.net/hotels/akita/"
"akita_onsen_plaza","秋田温泉プラザ","サウナ・温浴施設","HP: http://www.akitaonsen.co.jp/"
"ouu.moribo","川口温泉 奥羽山荘","サウナ・温浴施設","HP: https://moribo.net/"
"magorokuonsen.rokuan","乳頭温泉郷 孫六温泉 六庵","サウナ・温浴施設","HP: https://magorokuonsen.com/"
"akitaonsensatomi","秋田温泉さとみ 温泉センター りらっくす","サウナ・温浴施設","HP: https://satomi-e.com/relax/"
"bon_yado.u","盆サウナU(盆宿U)","サウナ・温浴施設","HP: https://u.bon-yado.jp/"
"akitaumiyoko","岩城温泉 港の湯","サウナ・温浴施設","HP: http://michinoeki-iwaki.com/"
"katanoyu2641","ポルダー潟の湯","サウナ・温浴施設","HP: http://www.katanoyu.com/"
"foresta5888","鳥海 猿倉温泉 フォレスタ鳥海","サウナ・温浴施設","HP: https://foresta-chokai.com/"
"yumeria555","西仙北ぬく森温泉ユメリア","サウナ・温浴施設","HP: http://www.yumeria.site/"
"barpasaporte_regionshostel","Regions Hostel","サウナ・温浴施設","HP: https://regionshostel.com"
"dormyinn.official","秋の宮温泉郷 湯けむりの宿 稲住温泉","サウナ・温浴施設","HP: https://www.hotespa.net/hotels/inazumi/"
"hamanasu_onsen","にかほ市温泉保養センター はまなす","サウナ・温浴施設","HP: https://www.nikaho-onsen-hamanasu.jp/"
"kankoumisato","千畑温泉サン・アール","サウナ・温浴施設","HP: http://akita-misato.com/stay/sanr/about/facility/matsu/"
"activityjapan_jp","THE 世界遺産サウナ 白神ロウリュウ","サウナ・温浴施設","HP: https://activityjapan.com/publish/plan/44152"
"hokuo.autocamp","北欧の杜公園","サウナ・温浴施設","HP: https://hokuopark.wixsite.com/hokuonomori/"
"kankoumisato","湯とぴあ雁の里温泉","サウナ・温浴施設","HP: http://akita-misato.com/stay/yutopia/"
"furusawaonsen.odate","ひない温泉比内のゆ","サウナ・温浴施設","HP: http://www.city.odate.akita.jp/dcity/sitemanager.nsf/doc/day_spa.html"
"hotel_kazuno","ホテル鹿角","サウナ・温浴施設","HP: http://www.h-kazuno.co.jp/"
"yufore_","ユフォーレ","サウナ・温浴施設","HP: http://www.yufore.jp/"
"tazawako_lakeresort","天然温泉 田沢湖レイクリゾート","サウナ・温浴施設","HP: https://www.tazawako-lakeresort.com/"
"hotelparkterraceoga","ホテルパークテラスOGA","サウナ・温浴施設","HP: https://hotelparkterrace-oga.com/"
"riversidehill","おものがわ温泉 雄川荘","サウナ・温浴施設","HP: http://yusenso.jp/"
"sunnemu_onsen","さんねむ温泉","サウナ・温浴施設","HP: http://www.sun-nemunoki.jp/"
"hotel_excel_kikusui","ホテルエクセルキクスイ","サウナ・温浴施設","HP: http://www.hotel-excel.co.jp/"
"anabalodge","Anaba Lodge","サウナ・温浴施設","HP: http://anabalodge.com/"
"suiden_terrasse","SHONAI HOTEL SUIDEN TERRASSE / スイデンテラス","サウナ・温浴施設","HP: https://suiden-terrasse.com/"
"kogenyu","高源ゆ","サウナ・温浴施設","HP: https://kogenyu.com/"
"ofurocafe_yusa","黒沢温泉 悠湯の郷 ゆさ & おふろcafé yusa","サウナ・温浴施設","HP: https://ofurocafe-yusa.com/"
"_st.kilda_","スーパー銭湯テルメ","サウナ・温浴施設","HP: http://www.terme-mg.com/"
"tendo_yupia","天童最上川温泉 ゆぴあ","サウナ・温浴施設","HP: http://www.yupia.com/"
"aiaihirata","アイアイひらた","サウナ・温浴施設","HP: https://sakatayuyu.wixsite.com/home"
"rmogami_retreat","R:MOGAMI","サウナ・温浴施設","HP: https://www.rmogami.com/"
"goshiki_onsen_camp","五色温泉オートキャンプ場","サウナ・温浴施設","HP: https://goshiki-camp.com/"
"hinanoyu.1999","べに花温泉ひなの湯","サウナ・温浴施設","HP: http://www.hinanoyu.com/"
"oishida.onsen","あったまりランド深堀","サウナ・温浴施設","HP: https://attamariland-fukabori.jp/"
"ryokan_koyo","日本の宿 古窯","サウナ・温浴施設","HP: http://www.koyoga.com/"
"tsuruoka_daiichi_hotel","東京第一ホテル鶴岡","サウナ・温浴施設","HP: http://www.tdh-tsuruoka.co.jp/"
"hotel_schones_heim_kaneyama","ホットハウスカムロ","サウナ・温浴施設","HP: http://shenesuhaimu.ecnet.jp/"
"asahishizenkan","Asahi自然観","サウナ・温浴施設","HP: http://www.shizenkan.jp/"
"hotel_montoview_yonezawa","ホテルモントビュー米沢","サウナ・温浴施設","HP: https://grandpark-px.jp/yonezawa/?utm_source=google&amp;utm_medium=map"
"tsukioka_hotel","月岡ホテル","サウナ・温浴施設","HP: http://www.tsukioka.co.jp/"
"y.isagoya","湯野浜温泉 游水亭いさごや","サウナ・温浴施設","HP: http://www.isagoya.com/"
"andanomori.jp","アンダの森 山形天童店","サウナ・温浴施設","HP: https://www.andanomoritendo.jp/"
"zao_onsen_rurikura_resort","たかみや瑠璃倶楽リゾート","サウナ・温浴施設","HP: http://www.zao.co.jp/rurikura/"
"nanyogreenhill","南陽DEたけはららキャンプジョー (なんようグリーンヒル)","サウナ・温浴施設","HP: https://www.abekensetsu-kk.com/takeharara/"
"plusone_tsuruoka","プラスワンつるおか","サウナ・温浴施設","HP: http://www.shoko-corpo.jp/plusone/"
"mutsumisou3035","むつみ荘","サウナ・温浴施設","HP: https://www.mutsumisou.jp/"
"hotel_minatoya","LAKE SIDE HOTEL MINATOYA  (MINATOYA SAUNA)","サウナ・温浴施設","HP: https://www.h-minatoya.com/sauna/"
"hattatu999999","サウナ発達","サウナ・温浴施設","HP: https://hattatsu.jp/"
"hibari_spa","ひばり温泉","サウナ・温浴施設","HP: http://www.hibari-land.jp/"
"iwakikenkocenter","北投の湯 いわき健康センター","サウナ・温浴施設","HP: http://www.iwaki-kenkou.com/"
"rootsinawashiro_the_lake","Roots猪苗代 LakeArea (THE LAKE)","サウナ・温浴施設","HP: https://lakearea.roots.jp/"
"angelforest2525","森のサウナ kaveri(カベリ)-エンゼルフォレスト白河高原","サウナ・温浴施設","HP: https://www.ang-sk.com/activity/sauna/#top"
"_yuinosato_azumakan_","陽日の郷 あづま館","サウナ・温浴施設","HP: http://www.azumakan.com/"
"yodge_fukushima","森の駅yodge","サウナ・温浴施設","HP: https://tamakawa-yodge.com/"
"dormyinn.official","磐梯の湯 ドーミーインEXPRESS郡山","サウナ・温浴施設","HP: http://www.hotespa.net/hotels/koriyama/"
"otomeyuri_spa","御とめ湯り","サウナ・温浴施設","HP: http://otomeyuri-spa.com/"
"spahotel_abukuma","スパホテルあぶくま","サウナ・温浴施設","HP: https://spahotel-abukuma.jp/"
"spa.resort.hawaiians","スパリゾートハワイアンズ","サウナ・温浴施設","HP: http://www.hawaiians.co.jp/"
"onyado_toho","会津東山温泉 御宿東鳳","サウナ・温浴施設","HP: http://www.onyado-toho.co.jp/"
"narita_onsen","なりた温泉","サウナ・温浴施設","HP: http://www.narita-onsen.com/index.html"
"lotosinnspa","ロータスイン","サウナ・温浴施設","HP: https://www.lotosinn.com/"
"kurheim","月光温泉クアハイム","サウナ・温浴施設","HP: http://www.gekkouonsen.co.jp/"
"kannonyuonsen","割烹温泉 観音湯","サウナ・温浴施設","HP: http://www.kannonyu-onsen.com/"
"niitsuruonsen_otsuru","新鶴温泉 んだ","サウナ・温浴施設","HP: https://niitsuru-onsen.co.jp/"
"skypia_adatara","スカイピアあだたら 空の湯","サウナ・温浴施設","HP: http://www.michinoeki-adachi.jp/skypia/"
"surikamiteiohtori_iizaka","摺上亭大鳥","サウナ・温浴施設","HP: http://www.surikamiteiohtori.com/"
"adatara_parahill","あだたら温泉 ホテルパラダイスヒルズ","サウナ・温浴施設","HP: https://parahill-nihonmatsu.com/"
"karounoyu","鹿狼の湯","サウナ・温浴施設","HP: https://karounoyu.jp/"
"yahataya_bobataonsen","母畑温泉 八幡屋","サウナ・温浴施設","HP: http://www.yahataya.co.jp/"
"tsuchiyuonsen_fukuusagi","福うさぎ","サウナ・温浴施設","HP: http://www.fuku-usagi.net/"
"shikinoyado.tenzui","四季の宿 天瑞","サウナ・温浴施設","HP: https://www.tenzui.info/"
"miharunosato","三春の里 田園生活館","サウナ・温浴施設","HP: http://miharunosato.com/"
"rio_hotels","ホテルグローバルビュー郡山","サウナ・温浴施設","HP: https://www.rio-hotels.co.jp/koriyama/"
"yuyulandhanawa","湯遊ランドはなわ","サウナ・温浴施設","HP: http://www.yuyu-land.com/"
"hotelhananoyu","ホテル華の湯","サウナ・温浴施設","HP: http://www.hotelhananoyu.jp/"
"en_resort_grandeco_official","EN RESORT Grandeco Hotel(旧裏磐梯グランデコ東急ホテル)","サウナ・温浴施設","HP: http://www.grandeco.com/hotel_resort/"
"route_inn_hotels","ホテルルートインGrand福島駅前東口","サウナ・温浴施設","HP: https://www.route-inn.co.jp/hotel_list/fukushima/index_hotel_id_734/"
"sora__kanon__umi","空と海の隠れ家 碧ノ音-kanon-","サウナ・温浴施設","HP: https://soratoumi-kanon.com/?utm_source=ig&amp;utm_medium=social&amp;utm_content=link_in_bio&amp;fbclid=PAdGRleAOYn_1leHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAadYcsxJgKrSi59Y2ZEzw3l26fJoKWZwvoknMDhh1foeOKoqd4616k-r6TVrpQ_aem_2WNQ5NJCtg1K-Bh88sA3ww"
"shirakawakougen_country_club","甲子温泉 白河高原カントリークラブ","サウナ・温浴施設","HP: https://skcc.tatemono-golf.com/"
"koriyamaonsen","郡山温泉","サウナ・温浴施設","HP: http://www.koriyamaonsen.jp/"
"mercure_urabandai","メルキュール裏磐梯リゾート&スパ(旧:Active Resorts 裏磐梯)","サウナ・温浴施設","HP: https://mercure-urabandai-resortandspa.jp/"
"kobitonomori_tabito","こびとの森","サウナ・温浴施設","HP: https://kobitonomori-iwaki.com/"
"angelforest2525","ログプレミアム プライベートサウナ(エンゼルフォレスト白河高原)","サウナ・温浴施設","HP: https://www.ang-sk.com/stay/#top"
"urabandai_lake_resort","裏磐梯レイクリゾート 迎賓館 猫魔離宮","サウナ・温浴施設","HP: https://www.lakeresort.jp/niji/"
"spa.resort.hawaiians","ハワイアンズモノリスタワー","サウナ・温浴施設","HP: http://www.hawaiians.co.jp/"
"nagamenoyakata.kounkaku","光雲閣","サウナ・温浴施設","HP: http://www.kounkaku.co.jp/"
"restayhotels","レステイ郡山","サウナ・温浴施設","HP: http://www.restayhotels.com/detail/216"
"listelinawashiro","ホテルリステル猪苗代","サウナ・温浴施設","HP: http://www.listel-inawashiro.jp/"
"villaiwasawa_saunami","サウ波","サウナ・温浴施設","HP: https://ryokaniwasawasou.com/villa/"
"omo_hotels","星野リゾート 磐梯山温泉ホテル","サウナ・温浴施設","HP: http://bandaisan.co.jp/"
